movie_title,average_score
A Complete History of My Sexual Failures,67.5
A Conspiracy of Faith (Flaskepost fra P),75.0
A Cool Dry Place,55.6875
A Cop (Un Flic),67.5
A Country Called Home,54.25
A Crooked Somebody,74.075
A Crude Awakening: The Oil Crash,62.72727272727273
A Cure For Wellness,54.27388535031847
A Dangerous Method,66.41724137931034
A Dangerous Woman,61.666666666666664
A Dark Song,73.4
A Date with Judy,72.5
A Day at the Races,74.0625
A Dirty Shame,58.63953488372093
A Distant Trumpet,63.333333333333336
A Dog of Flanders,47.916666666666664
A Dog's Journey,53.57627118644068
A Dog's Purpose,49.34649122807018
A Dog's Way Home,56.830357142857146
A Face in the Crowd,80.9375
A Family Thing,71.33333333333333
A Fantastic Fear of Everything,43.958333333333336
A Fantastic Woman (Una mujer fantástica),76.87226277372262
A Farewell To Arms,42.5
A Farewell to Arms,75.55555555555556
A Farewell to Fools,58.5
A Few Best Men,35.625
A Few Good Men,73.28125
A Field in England,69.99019607843137
A Fierce Green Fire,61.15384615384615
A Film Unfinished,77.82558139534883
A Film with Me in It,65.5
A Fine Madness,55.0
A Fine Mess,46.25
A Fish Called Wanda,82.05357142857143
A Fistful of Dollars (Per un Pugno di Dollari),83.36666666666666
A Five Star Life,61.125
A Fond Kiss,70.38461538461539
A Fool There Was,67.5
A Fortunate Man (Lykke-Per),77.5
A Four Letter Word,59.44444444444444
A Funny Thing Happened on the Way to the Forum,73.0
A Futile and Stupid Gesture,65.20833333333333
"A Galaxy Far, Far Away",25.0
A Ghost Story,76.64324324324325
A Girl And A Gun,49.583333333333336
A Girl Walks Home Alone at Night,74.98
A Glimpse Inside the Mind of Charles Swan III,39.294871794871796
A Good Day To Die Hard,43.166666666666664
A Good Day to Be Black & Sexy,62.5
A Good Man in Africa,35.0
A Good Old Fashioned Orgy,47.11224489795919
A Good Woman,57.166666666666664
A Good Woman Is Hard to Find,69.546875
A Good Year,53.62735849056604
A Goofy Movie,62.083333333333336
A Gray State,74.16666666666667
A Great Day in Harlem,80.625
A Great Wall,72.5
A Guide to Recognizing Your Saints,68.2394366197183
A Guy Thing,44.68125
A Hard Day,69.21875
A Hard Day's Night,88.26363636363637
A Haunted House,31.25
A Haunted House 2,26.383333333333333
A Hijacking,72.55882352941177
A History of Violence,75.6951219512195
A Hole in the Head,70.0
A Hologram for the King,61.628865979381445
A Home at the End of the World,60.46296296296296
A Home of Our Own,56.25
A Horrible Way to Die,66.5
A Jihad for Love,65.3409090909091
A Kid Like Jake,60.955882352941174
A Kid in King Arthur's Court,36.111111111111114
A Kind of Murder,54.80769230769231
A Kiss Before Dying,66.5
A Knight's Tale,62.58695652173913
A La Mala,57.5
A Late Quartet,63.51829268292683
A League of Ordinary Gentlemen,71.33928571428571
A League of Their Own,69.77272727272727
A Letter to Momo,63.4375
A Letter to Three Wives,75.75
A Liar's Autobiography - The Untrue Story of Monty Python's Graham Chapman,51.11363636363637
A Life Less Ordinary,56.71875
A Little Bit Of Heaven,31.858974358974358
A Little Chaos,55.19402985074627
A Little Help,56.875
A Little Princess,78.33333333333333
A Little Romance,77.83333333333333
A Little Trip to Heaven,52.5
A Lonely Place to Die,58.80952380952381
A Long Way Down,44.406976744186046
A Long Way From Home,51.111111111111114
A Lot Like Love,54.81578947368421
A Low Down Dirty Shame,42.5
A Man Apart,43.90094339622642
A Man Called Horse,65.0
A Man Called Ove (En man som heter Ove),70.06172839506173
A Man Escaped (Un condamné à mort s'est échappé ou Le vent souffle où il veut),89.84210526315789
A Man Named Pearl,71.875
A Man and a Woman,64.0625
A Man for All Seasons,77.38636363636364
A Man's Story,49.464285714285715
A Marine Story,51.666666666666664
A Master Builder,67.86363636363636
A Merry Friggin' Christmas,37.5
A Midnight Clear,74.30555555555556
A Midsummer Night's Dream,77.91666666666667
A Midsummer Night's Sex Comedy,65.27777777777777
A Mighty Heart,72.05281690140845
A Mighty Wind,71.57874015748031
A Million Little Pieces,50.69444444444444
A Million Ways to Die in the West,51.937106918238996
A Monster Calls,74.21243523316062
A Monster in Paris,59.5
A Month Of Sundays,59.61538461538461
A Month by the Lake,70.625
A Most Violent Year,73.2547770700637
A Most Wanted Man,69.30891719745223
A Mother's Courage: Talking Back To Autism (Sólskinsdrengurinn),71.42857142857143
A Murder In The Park,64.38888888888889
A Murder of Crows,47.333333333333336
A Necessary Death,79.375
A New Kind of Love,46.875
A New Leaf,80.89285714285714
A New Life,45.0
A Nice Girl Like You,44.583333333333336
A Night In Old Mexico,52.69230769230769
A Night at the Opera,81.81818181818181
A Night at the Roxbury,34.791666666666664
A Night in Casablanca,58.333333333333336
A Night to Remember,86.60714285714286
A Nightmare on Elm Street,47.633426966292134
A Nightmare on Elm Street 2: Freddy's Revenge,47.36842105263158
A Nightmare on Elm Street 3: Dream Warriors,62.916666666666664
A Nightmare on Elm Street 4: The Dream Master,45.294117647058826
A Nightmare on Elm Street 5: The Dream Child,45.588235294117645
A Novel Romance,30.0
A Passage to India,74.4090909090909
A Patch of Blue,91.875
A Patient Man,68.33333333333333
A Perfect Day,67.21621621621621
A Perfect Getaway,60.24271844660194
A Perfect Man,58.333333333333336
A Perfect Murder,60.96153846153846
A Perfect World,79.83333333333333
A Place at the Table,73.1086956521739
A Place in the Sun,83.0
A Plumm Summer,41.07142857142857
A Poem Is A Naked Person,71.45833333333333
A Prairie Home Companion,71.325
A Prayer Before Dawn,73.33333333333333
A Prayer for the Dying,42.0
A Price Above Rubies,59.375
A Private Function,78.33333333333333
A Private War,69.38144329896907
A Promise,40.0
A Prophet (Un prophete),81.47863247863248
A Pyromaniac's Love Story,44.166666666666664
A Question of Faith,75.0
A Quiet Passion,74.14485981308411
A Quiet Place,77.38697318007662
A Rage in Harlem,64.07894736842105
A Raisin in the Sun,86.0
A Reindeer's Journey,74.0
A River Runs Through It,71.575
A Room With a View,78.0909090909091
A Royal Affair,71.38823529411765
A Royal Night Out,58.580357142857146
A Rumor of Angels,49.5
A Scandal in Paris,70.0
A Scanner Darkly,66.60211267605634
A Score to Settle,46.92307692307692
A Screaming Man,71.67857142857143
A Secret Love,72.29166666666667
A Separation,81.46850393700787
A Serious Man,77.9359756097561
A Shaun the Sheep Movie: Farmageddon,73.49137931034483
A Shine of Rainbows,56.666666666666664
A Short History Of Decay,48.416666666666664
A Shot in the Dark,83.59375
A Simple Curve,66.25
A Simple Favor,69.21142857142857
A Simple Life,76.6086956521739
A Simple Plan,66.9
A Simple Twist of Fate,56.785714285714285
A Simple Wedding,71.42857142857143
A Simple Wish,50.0
A Single Girl,65.0
A Single Man,72.05592105263158
A Single Shot,57.77777777777778
A Sinner in Mecca,64.64285714285714
A Skin So Soft (Ta peau si lisse),67.5
A Slight Case of Murder,67.5
A Slipping-Down Life,53.57142857142857
A Small Act,61.875
A Smile Like Yours,34.0625
A Snake of June (Rokugatsu no hebi),48.0
A Soldier's Story,76.25
A Song for Martin,75.15625
A Sound of Thunder,33.73506493506493
A Space Program,79.16666666666667
A Star Is Born,77.15247351253483
A Star is Born,52.205882352941174
A Stranger Among Us,48.625
A Street Cat Named Bob,59.42307692307692
A Streetcar Named Desire,82.5
A Suitable Girl,71.78571428571429
A Summer In Genoa,60.45454545454545
A Summer Place,61.875
A Summer's Tale,75.34285714285714
A Sun,70.0
A Tale of Love and Darkness,63.333333333333336
A Tale of Two Cities,77.5
A Tale of Two Pizzas,48.0
A Tale of Two Sisters,70.11904761904762
A Taste of Honey,80.3125
A Teacher,57.63157894736842
A Thin Line Between Love and Hate,43.75
A Thousand Kisses Deep,38.18181818181818
A Thousand Words,35.1
A Thousand Years of Good Prayers,69.42307692307692
A Thread of Deceit: The Hart Family Tragedy,57.75
A Throw of Dice,73.83333333333333
A Time to Kill,60.2
A Touch of Class,70.4
A Touch of Sin,74.30701754385964
A Touch of Zen,82.95454545454545
A Town Called Panic (Panique au village),68.75
A Troll in Central Park,34.166666666666664
A Tuba to Cuba,73.0
A Turtle's Tale: Sammy's Adventures,44.666666666666664
A United Kingdom,67.475
A Very Brady Sequel,60.88235294117647
A Very British Gangster,67.5
A Very Harold & Kumar Christmas,61.86190476190476
A Very Long Engagement,72.38942307692308
A Very Sordid Wedding,71.25
A View to a Kill,52.416666666666664
A Vigilante,69.67391304347827
A Violent Man,58.0
A Violent Separation,50.3125
A Wake In Providence (Almost Married),51.42857142857143
A Walk Among the Tombstones,63.439516129032256
A Walk In The Woods,55.90725806451613
A Walk Into the Sea: Danny Williams and the Warhol Factory,62.96296296296296
A Walk in the Clouds,73.75
A Walk on the Moon,67.85714285714286
A Walk to Remember,48.21551724137931
A War (Krigen),73.85166666666667
A Warrior's Heart,30.61111111111111
A Wedding for Bella,60.55555555555556
A Whale of a Tale,64.16666666666667
A Whisper To A Roar,66.66666666666667
"A White, White Day (Hvítur, hvítur dagur)",72.44047619047619
A Will For The Woods,70.83333333333333
A Wink and a Smile,60.55555555555556
A Wizard's Tale (Here Comes the Grump),37.5
A Wolf at the Door (O Lobo atrás da Porta),70.17857142857143
A Woman Is a Woman (Une femme est une femme),74.65
A Woman Under the Influence,72.28125
A Woman of Paris: A Drama of Fate,79.16666666666667
A Woman's Face,73.33333333333333
"A Woman, A Gun and a Noodle Shop (San qiang pai an jing qi) (A Simple Noodle Story) (The First Gun)",54.673469387755105
A Wrinkle in Time,54.78251121076233
A.C.O.D.,55.63953488372093
A.I. Artificial Intelligence,73.22277227722772
A.X.L.,40.46875
ABCs of Death 2,63.05769230769231
AKA Jane Roe,72.4
ANIARA,62.770833333333336
ARQ,48.75
ATL,62.507246376811594
ATM,45.921052631578945
AVP - Alien Vs. Predator,44.43805309734513
AWOL,56.0
Aaja Nachle,75.0
Aarakshan,57.5
Aardvark,39.464285714285715
Ab-normal Beauty,52.5
Abandon,49.657303370786515
Abattoir,50.357142857142854
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,61.666666666666664
Abbott and Costello Meet Frankenstein,74.21875
Abbott and Costello Meet the Mummy,43.333333333333336
Abduction,36.46436781609196
Abe,69.88636363636364
Abe & Phil's Last Poker Game,64.0
Abe Lincoln in Illinois,75.0
Abel,67.27272727272727
Aberdeen,74.7
Abominable,66.82575757575758
About Adam,60.56818181818182
About Alex,54.706896551724135
About Cherry,44.84375
About Elly,75.11111111111111
About Last Night,60.739583333333336
About Schmidt,75.48239436619718
About Scout,61.666666666666664
About Time,63.90833333333333
About a Boy,75.20522388059702
Above the Law,58.75
Above the Rim,57.68181818181818
Above the Shadows,60.0
Abraham Lincoln,61.0
Abraham Lincoln: Vampire Hunter,50.802547770700635
Absence,43.75714285714286
Absence Of Malice,72.25
Absentia,69.16666666666667
Absolute Power,60.42857142857143
Absolute Wilson,70.46875
Absolutely Anything,37.42857142857143
Absolutely Fabulous: The Movie,56.495535714285715
Absurdistan,67.5
Abuse of Weakness,69.25
Accattone (The Procurer) (The Scrounger),70.0
Acceleration,26.666666666666668
Accepted,52.71868131868131
Accident Man,46.666666666666664
Accidental Love,38.666666666666664
Accidents Happen,59.285714285714285
According To Greta,48.333333333333336
Ace Ventura - When Nature Calls,36.73076923076923
Ace Ventura: Pet Detective,46.484375
Ace in the Hole (The Big Carnival),81.52173913043478
Ace the Case: Manhattan Mystery,45.0
Aces: Iron Eagle III,40.0
Acolytes,65.625
Across 110th Street,59.583333333333336
Across the Universe,60.08459595959596
Act of God,65.75
Act of Valor,47.37394957983193
Action Jackson,33.57142857142857
Action Point,39.98571428571429
Action Replayy,40.0
Active Measures,68.125
Acts of Vengeance,60.625
Acts of Violence,27.5
Acts of Worship,62.5
Ad Astra,73.18837209302325
Adam,62.700892857142854
Adam & Steve,55.714285714285715
Adam Resurrected,56.666666666666664
Adam Sandler's Eight Crazy Nights,35.23863636363637
Adam Sandler: 100% Fresh,78.33333333333333
Adam's Apples,65.51282051282051
Adam's Rib,70.32142857142857
Adaptation,79.32208588957056
Addams Family Values,68.30882352941177
Addicted,39.44444444444444
Addicted To Fame,44.166666666666664
Addicted to Love,51.875
Addiction Incorporated,61.52777777777778
Adieu au langage (Goodbye to Language),63.30487804878049
Admiral (Michiel de Ruyter),68.125
Admission,56.35123966942149
Adopt a Highway,64.5
Adoration,61.80444444444444
