movie_title,average_score
A Wolf at the Door (O Lobo atrás da Porta),70.17857142857143
A Woman Is a Woman (Une femme est une femme),75.1304347826087
A Woman Under the Influence,72.28125
A Woman of Paris: A Drama of Fate,79.16666666666667
A Woman's Face,72.0
"A Woman, A Gun and a Noodle Shop (San qiang pai an jing qi) (A Simple Noodle Story) (The First Gun)",54.673469387755105
A Wrinkle in Time,54.78251121076233
A.C.O.D.,55.63953488372093
A.I. Artificial Intelligence,73.09313725490196
A.X.L.,40.46875
ABCs of Death 2,63.05769230769231
AKA Jane Roe,72.4
ANIARA,62.770833333333336
ARQ,48.75
ATL,62.614285714285714
ATM,45.921052631578945
AVP - Alien Vs. Predator,44.72314049586777
AWOL,56.0
Aaja Nachle,75.0
Aarakshan,57.5
Aardvark,39.464285714285715
Ab-normal Beauty,55.0
Abandon,48.611702127659576
Abattoir,50.357142857142854
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,60.714285714285715
Abbott and Costello Meet Frankenstein,74.07894736842105
Abbott and Costello Meet the Mummy,49.54545454545455
Abduction,36.61818181818182
Abe,69.88636363636364
Abe & Phil's Last Poker Game,64.0
Abe Lincoln in Illinois,69.0
Abel,67.27272727272727
Aberdeen,74.0
Abominable,66.84962406015038
About Adam,58.93333333333333
About Alex,54.706896551724135
About Cherry,44.84375
About Elly,75.11111111111111
About Last Night,60.69607843137255
About Schmidt,75.521875
About Scout,61.666666666666664
About Time,63.90833333333333
About a Boy,75.20522388059702
Above the Law,53.4
Above the Rim,56.96666666666667
Above the Shadows,60.0
Abraham Lincoln,61.0
Abraham Lincoln: Vampire Hunter,50.802547770700635
Absence,43.75714285714286
Absence Of Malice,73.08823529411765
Absentia,69.16666666666667
Absolute Power,60.78947368421053
Absolute Wilson,69.26470588235294
Absolutely Anything,37.42857142857143
Absolutely Fabulous: The Movie,56.495535714285715
Absurdistan,66.32352941176471
Abuse of Weakness,69.25
Accattone (The Procurer) (The Scrounger),74.44444444444444
Acceleration,26.666666666666668
Accepted,52.85252525252525
Accident Man,46.666666666666664
Accidental Love,38.666666666666664
Accidents Happen,59.285714285714285
According To Greta,48.333333333333336
Ace Ventura - When Nature Calls,38.07692307692308
Ace Ventura: Pet Detective,47.77173913043478
Ace in the Hole (The Big Carnival),82.2
Ace the Case: Manhattan Mystery,45.0
Aces: Iron Eagle III,22.083333333333332
Acolytes,65.625
Across 110th Street,61.166666666666664
Across the Universe,60.08459595959596
Act of God,64.79166666666667
Act of Valor,47.37394957983193
Action Jackson,36.53846153846154
Action Point,39.98571428571429
Action Replayy,40.0
Active Measures,68.125
Acts of Vengeance,60.625
Acts of Violence,27.5
Acts of Worship,63.84615384615385
Ad Astra,73.18837209302325
Adam,62.02173913043478
Adam & Steve,55.666666666666664
Adam Resurrected,56.07142857142857
Adam Sandler's Eight Crazy Nights,35.37222222222222
Adam Sandler: 100% Fresh,78.33333333333333
Adam's Apples,65.29761904761905
Adam's Rib,75.45238095238095
Adaptation,78.97289156626506
Addams Family Values,67.2560975609756
Addicted,39.44444444444444
Addicted To Fame,44.166666666666664
Addicted to Love,52.75
Addiction Incorporated,61.44736842105263
Adieu au langage (Goodbye to Language),63.30487804878049
Admiral (Michiel de Ruyter),68.125
Admission,56.35123966942149
Adopt a Highway,64.5
Adoration,61.72291666666666
Adore,49.901785714285715
Adrift,62.35895424836601
Adrift in Manhattan,59.0
Adult Beginners,58.80769230769231
Adult World,54.78260869565217
Advanced Style,69.28571428571429
Adventureland,72.93604651162791
Adventures in Babysitting,62.93478260869565
Adventures in Public School (Public Schooled),59.166666666666664
Adventures of Power,38.0
Adventures of Sebastian Cole,61.80952380952381
Adventures of a Teenage Dragonslayer,44.375
Advise and Consent,75.9375
Aelita - Queen of Mars,63.333333333333336
Aeon Flux,40.6764705882353
Afflicted,64.16666666666667
Affliction,73.05952380952381
Affluenza,39.05555555555556
Afghan Cycles,72.5
Afghan Star,73.75510204081633
Africa Screams,54.0
Africa: The Serengeti,80.625
African Cats,62.6953125
After,36.70967741935484
After Class (Safe Spaces),70.71428571428571
"After Dark, My Sweet",65.84615384615384
After Earth,41.667782240071396
After Everything (Shotgun),71.5
"After Fall, Winter",33.75
After Hours,74.87179487179488
After Image,22.0
After Innocence,73.3108108108108
After Louie,63.75
After Love (L'économie du couple),70.84705882352942
After Lucia,90.0
After Midnight (Something Else),73.61538461538461
After Sex,62.72727272727273
After Stonewall,69.125
After The Fall,42.857142857142854
After Tiller,71.02222222222223
After We Leave,75.0
After Words,50.0
After the Ball,50.208333333333336
After the Dark,63.92857142857143
After the Storm (Umi yori mo mada fukaku),75.15384615384616
After the Sunset,48.45575221238938
After the Thin Man,72.17857142857143
After the Wedding,59.31428571428572
After.Life,46.29
Afterglow,63.3
Aftermath,52.455357142857146
Aftermath (Poklosie),70.42380952380952
Afternoon Delight,59.30952380952381
Afternoon of a Faun: Tanaquil Le Clercq,75.76086956521739
Afterschool,62.61261261261261
Aftershock,48.048780487804876
Aftershocks (Tangshan dadizhen),60.0
Afterward,71.66666666666667
Against All Odds,53.2
Against The Sun,65.57142857142857
Against the Ropes,46.745535714285715
Age Of Kill,26.666666666666668
Age of Consent,70.0
Age of Heroes,48.0
Age of Summer,58.125
Age of the Dragons,27.77777777777778
Agent Cody Banks,53.82795698924731
Agent Cody Banks 2: Destination London,39.6566265060241
Agent Vinod,56.42857142857143
Agnes Browne,54.1875
Agnes of God,54.875
Agora,58.01470588235294
"Aguirre, the Wrath of God (Aguirre, der Zorn Gottes)",87.2125
Ai Weiwei: Never Sorry,75.10615384615384
Ai Weiwei: The Fake Case,71.05263157894737
Aida's Secrets,80.0
Aileen Wuornos - The Selling of a Serial Killer,73.75
Aileen: Life and Death of a Serial Killer,68.47826086956522
Ain't In It For My Health: A Film About Levon Helm,72.55
Ain't Them Bodies Saints,70.72
Air,55.4
Air America,38.0
Air Bud,49.625
Air Bud 2 - Golden Receiver,44.02173913043478
Air Force,70.14285714285714
Air Force One,69.06666666666666
Air Guitar Nation,68.99122807017544
Air Strike,43.333333333333336
Airborne,34.0
Airplane 2 - The Sequel,53.28947368421053
Airplane!,81.83653846153847
Airport,64.66666666666667
Airport '77,53.214285714285715
Airport 1975,48.035714285714285
Ajami,71.96808510638297
Akeelah and the Bee,69.42307692307692
Akira,77.30263157894737
Akron,52.5
Aladdin,63.96416938110749
Aladdin and the King of Thieves,48.40909090909091
Alamar (To the Sea),73.5
Alan Partridge,69.22839506172839
Alaska,48.611111111111114
Albatross,53.75
Albert Nobbs,60.728
Albino Alligator,56.25
Aleksandr Nevskiy (Alexander Nevsky),85.3125
Alex & Emma,42.86086956521739
Alex Cross,38.96862745098039
Alex Rider: Operation Stormbreaker,51.271929824561404
Alex Strangelove,62.0
Alex of Venice,62.23684210526316
Alexander,44.544585987261144
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",57.84444444444444
Alexander the Great,43.92857142857143
Alexander the Last,60.27777777777778
Alexander's Ragtime Band,73.16666666666667
Alexandra,70.65040650406503
Alexandra's Project,57.65625
Alfie,62.68518518518518
Algorithms,63.0
Ali,67.4235294117647
Ali G Indahouse,51.833333333333336
Ali Wong: Baby Cobra,
Ali Wong: Hard Knock Wife,81.0
Ali's Wedding,67.65625
Alice,62.86
Alice (Neco z Alenky),78.1923076923077
Alice Adams,72.5
Alice Doesn't Live Here Anymore,76.02272727272727
Alice Neel,71.47435897435898
Alice Through the Looking Glass,48.31720430107527
Alice in Wonderland,60.240196078431374
"Alice, Sweet Alice (Communion)",72.1875
Alien,86.3719512195122
Alien Abduction,46.25
Alien Autopsy,56.42857142857143
Alien Nation,54.92
Alien Outpost,49.36
Alien Raiders,70.625
Alien Resurrection,56.31578947368421
Alien Trespass,51.875
Alien3,51.6025641025641
Alien: Covenant,64.11623616236163
Aliens,88.51851851851852
Aliens in the Attic,46.171875
Aliens of the Deep,68.19148936170212
Aliens vs. Predator: Requiem (AVP 2),33.99425287356322
Alila,54.375
Alita: Battle Angel,60.18043478260869
Alive,62.5
Alive Inside,63.793103448275865
Aliyah,66.0
All About Eve,90.76595744680851
All About Lily Chou-Chou,65.2258064516129
All About My Mother (Todo sobre mi madre),79.27083333333333
All About Steve,30.33783783783784
All About the Benjamins,48.38970588235294
All Cheerleaders Die,52.5
All Day and a Night,62.142857142857146
All Dogs Go To Heaven,54.54545454545455
All Dogs Go To Heaven 2,44.0
All Eyez on Me,44.93846153846154
All Fall Down,66.66666666666667
All Good Things,58.5328947368421
All Hat,42.5
All I Can Say,65.0
All I See Is You,50.5
All I Want (Try Seventeen),36.333333333333336
All I Want for Christmas,30.3125
All I Wish (A Little Something for Your Birthday),48.63636363636363
All In: The Poker Movie,56.875
All Is Bright,58.425925925925924
All Is Lost,75.48876404494382
All Is True,65.86633663366337
All Is Well (Alles ist gut),74.16666666666667
All Mistakes Buried,75.0
All Nighter,41.36363636363637
All Over the Guy,57.80952380952381
All Quiet on the Western Front,80.0
All Relative,27.916666666666668
All Roads Lead Home,27.083333333333332
All Roads Lead to Rome,43.333333333333336
All Saints,62.61538461538461
All Square,65.625
All Stars,52.63157894736842
All Summers End,40.0
All That Heaven Allows,77.61904761904762
All The King's Men,48.66
All The Wilderness,62.916666666666664
All These Small Moments,61.5625
All Things Must Pass: The Rise and Fall of Tower Records,71.02272727272727
All Things To All Men,44.11764705882353
"All This, and Heaven Too",73.75
All Through the Night,71.25
All We Had,55.88461538461539
All in This Tea,83.5
All of Me,70.35714285714286
All or Nothing,68.65753424657534
All the Boys Love Mandy Lane,53.101851851851855
All the Bright Places,62.833333333333336
All the Devil's Men,50.625
All the King's Men,78.76
